7.618,0.553061,8.83939,8.81784,0
7.649,0.550666,8.71489,8.81784,0
8.782,0.565032,8.84658,8.87052,0
9.912,0.538695,8.75799,8.76278,0
11.041,0.548272,8.78672,8.69335,0
12.17,0.52433,8.7532,8.61434,0
13.297,10.7763,2.59771,2.39899,1
14.433,-4.75967,10.4531,10.6446,1
15.564,-8.66701,1.00556,0.967257,1
16.692,-5.60483,-7.44357,-6.95755,1
17.824,-1.17076,9.68455,9.72525,1
18.957,11.0804,9.06684,9.34696,1
20.088,0.605733,8.76278,8.70532,1
21.216,0.984017,9.00699,9.19613,1
22.347,0.869095,-2.70066,-2.78206,0
23.481,0.665588,8.88728,8.9615,0
24.709,-5.97114,2.44927,2.37505,0
25.837,-4.78601,-6.09085,-6.10043,0
26.964,1.93691,-9.92397,-11.2504,0
28.085,9.23204,-4.07733,-4.07254,1
29.216,-1.00796,11.3222,10.9894,1
30.349,-6.58405,-4.73094,-4.9153,1
31.481,-0.126893,4.1707,3.2609,0
32.607,-8.50181,-1.2809,-1.4054,0
33.736,-0.933739,7.62074,7.27119,0
34.868,0.418985,8.74602,8.71729,0
35.998,0.486023,8.71729,8.74123,0
37.129,0.572214,8.77475,8.77475,0
38.262,0.457293,8.72686,8.63589,0
39.387,8.81545,-0.488417,-0.378284,1
40.518,-2.12126,8.2193,8.51617,1
41.758,-8.59758,2.59531,2.48279,1
42.892,1.37427,9.4571,9.6606,1
44.017,10.0772,-2.23618,-2.16915,1
45.153,0.222661,7.01741,6.3183,1
46.289,0.596156,8.90164,8.77715,1
47.423,0.54109,8.83221,8.80348,1
48.556,0.493206,8.87531,8.77235,1
49.692,0.548272,8.83461,8.73884,1
50.831,0.476446,8.87291,8.77954,1
51.969,0.548272,8.82742,8.68616,1
